time,open,high,low,close,vol,amt,oi,code
2019-12-10,22770.978753130632,22770.978753130632,22658.171356618303,22722.63272605392,6456.0,682237800.0,7647.0,CY2005
2019-12-11,22685.03026054981,22846.183684138847,22679.658479763508,22706.517383695016,7505.0,794967125.0,7770.0,CY2005
2019-12-12,22706.517383695016,22899.90149200186,22706.517383695016,22878.414368856655,4299.0,456123900.0,7746.0,CY2005
2019-12-13,22856.92724571145,23087.9138195224,22787.094095489534,22969.73464222377,6760.0,721630000.0,8178.0,CY2005
2019-12-16,22996.59354615528,23050.31135401829,22765.60697234433,22964.36286143747,4530.0,483124500.0,8115.0,CY2005
2019-12-17,22953.61929986487,23028.824230873084,22921.388615147065,22991.221765368977,6129.0,655343325.0,7871.0,CY2005
2019-12-18,22996.59354615528,23050.31135401829,22889.157930429254,22942.87573829227,6041.0,646235975.0,7644.0,CY2005
2019-12-19,22932.132176719664,23066.426696377195,22889.157930429254,23044.93957323199,4859.0,519305625.0,7745.0,CY2005
2019-12-20,23023.452450086785,23098.657381095,22991.221765368977,23039.567792445687,4783.0,512857175.0,7677.0,CY2005
2019-12-23,23018.080669300485,23141.63162738541,22926.76039593336,22975.106423010075,7090.0,760225250.0,7484.0,CY2005
2019-12-24,22975.106423010075,23077.170257949798,22975.106423010075,23018.080669300485,2779.0,297839325.0,7409.0,CY2005
2019-12-25,23023.452450086785,23050.31135401829,22905.27327278816,22942.87573829227,5019.0,537033000.0,7483.0,CY2005
2019-12-26,22905.27327278816,23087.9138195224,22905.27327278816,23050.31135401829,3859.0,412913000.0,7414.0,CY2005
2019-12-27,23050.31135401829,23372.61820119636,23028.824230873084,23308.156831760745,14011.0,1514589100.0,7384.0,CY2005
2019-12-30,23313.52861254705,23985.001210834693,23254.439023897732,23818.476006459357,15755.0,1737776500.0,8034.0,CY2005
2019-12-31,23829.21956803196,23893.680937467576,23651.95080208402,23754.01463702374,8116.0,897832500.0,7919.0,CY2005
2020-01-02,23791.61710252785,24060.206141842908,23506.91272085389,23614.34833657991,10854.0,1202351850.0,7933.0,CY2005
2020-01-03,23651.95080208402,23807.732444886755,23539.143405571696,23619.720117366214,8945.0,985739000.0,8219.0,CY2005
2020-01-06,23533.771624785397,23743.271075451143,23388.733543555263,23673.437925229224,10764.0,1181887200.0,8698.0,CY2005
2020-01-07,23635.835459725116,23882.93737589497,23625.091898152517,23866.822033536067,12443.0,1376817950.0,8101.0,CY2005
2020-01-08,23829.21956803196,23861.450252749764,23630.463678938813,23829.21956803196,9594.0,1062055800.0,8579.0,CY2005
2020-01-09,23791.61710252785,24060.206141842908,23791.61710252785,23925.91162218538,11755.0,1310682500.0,8198.0,CY2005
2020-01-10,23893.680937467576,24011.860114766198,23823.847787245657,23915.16806061278,8893.0,990457875.0,8145.0,CY2005
2020-01-13,23947.398745330585,24124.667511278523,23909.796279826478,24092.436826560715,7839.0,876792150.0,8417.0,CY2005
2020-01-14,24092.436826560715,24130.039292064823,23668.066144442928,23807.732444886755,13551.0,1506532425.0,7897.0,CY2005
2020-01-15,23807.732444886755,23888.309156681273,23517.65628242649,23544.515186357996,11219.0,1240540925.0,7906.0,CY2005
2020-01-16,23506.91272085389,23732.527513878536,23463.938474563478,23657.32258287032,9112.0,1002092200.0,7617.0,CY2005
2020-01-17,23651.95080208402,23732.527513878536,23560.6305287169,23694.92504837443,7463.0,821116575.0,7474.0,CY2005
2020-01-20,23770.129979382644,23856.078471963465,23630.463678938813,23646.579021297723,10719.0,1183377600.0,7420.0,CY2005
2020-01-21,23635.835459725116,23802.36066410045,23372.61820119636,23431.707789845674,14224.0,1559306000.0,6979.0,CY2005
2020-01-22,23501.540940067585,23501.540940067585,22615.197110327896,23313.52861254705,13682.0,1471499100.0,6144.0,CY2005
2020-01-23,23329.64395490595,23410.22066670047,22873.04258807035,22980.478203796378,11859.0,1276028400.0,6011.0,CY2005
2020-02-03,22180.082866637506,22357.35163258544,21540.84095306766,21573.07163778547,5532.0,566061900.0,6473.0,CY2005
2020-02-04,21428.03355655534,22163.967524278596,21385.05931026493,21906.122046536144,13868.0,1415229400.0,7183.0,CY2005
2020-02-05,21954.46807361285,22480.90259067037,21911.493827322447,22389.582317303248,10854.0,1128544650.0,7411.0,CY2005
